pmid,title,abstract,date,journal,publication_type,year,classification
33187116,Long-Term Effects of a Cognitive Behavioral Conference Call Intervention on Depression in Non-Professional Caregivers.,"Recent evidence supports the efficacy of conference call cognitive-behavioral interventions in preventing depression in caregivers at post-intervention, but we do not know whether the results are sustained long term. The main objective of this study was to evaluate the long-term efficacy of a cognitive-behavioral intervention administered by telephone conference call in preventing depression in caregivers with elevated depressive symptoms, comparing all components of the intervention versus only the behavioral ones. A randomized controlled trial was conducted using a dismantling strategy. At total of 219 caregivers were randomly assigned to a cognitive-behavioral conference call intervention (CBCC; <i>n</i> = 69), a behavioral-activation conference call intervention (BACC; <i>n</i> = 70), or a usual care control group (CG, <i>n</i> = 80). Information was collected on depressive symptoms and depression at pre-intervention and at 1, 3, 6, 12, and 36 months post-intervention. At 36 months, there was a reduction in depressive symptoms (<i>p</i> < 0.001) and a lower incidence of major depressive episodes in both the CBCC and BACC groups compared to CG (8.7%, 8.6%, and 33.7%, respectively). The results show that a conference call intervention was effective in the long term to prevent depression in caregivers and that the behavioral-activation component was comparable to the complete cognitive-behavioral protocol.",2020-Nov-11,International journal of environmental research and public health,Journal Article,2020,YES
33153220,"Mental Fatigue, But Not other Fatigue Characteristics, as a Candidate Feature of Obsessive Compulsive Personality Disorder in Patients with Anxiety and Mood Disorders-An Exploratory Study.","Obsessive compulsive personality disorder (OCPD) is commonly associated with anxiety and mood disorders (AMDs), in which fatigue and executive dysfunction represent key symptoms. Executive dysfunction has also been demonstrated in subjects with OCPD, and is additionally found to be a cardinal feature of fatigue. This study aimed to investigate the associations between fatigue, executive dysfunction, and OCPD in patients with AMDs. In this cross-sectional study, 85 AMD patients (78% females, mean age 39 ± 11 years) were evaluated for OCPD traits by using the observer-rated Compulsive Personality Assessment Scale. The Multidimensional Fatigue Inventory-20 was used to measure different aspects of fatigue, and the Trail Making Test was employed to assess executive functioning. The Hamilton rating scales were used to evaluate anxiety and depression symptoms. Controlling for potential confounders, there was a significant link between OCPD and mental fatigue (OR, 1.27; 95% CI, 1.02 to 1.58; <i>p</i> = 0.033). No associations were found between the presence of OCPD and other relevant fatigue characteristics, including general fatigue, physical fatigue, reduced activity, and reduced motivation, as well as executive functions. To the best of our knowledge, this study is the first to report associations between OCPD and mental fatigue in patients with AMDs, suggesting mental fatigue as a clinically important symptom when considering particular personality pathologies.",2020-Nov-03,International journal of environmental research and public health,Journal Article,2020,YES
33137611,Effectiveness of online psychological and psychoeducational interventions to prevent depression: Systematic review and meta-analysis of randomized controlled trials.,"Although evidence exists for the efficacy of interventions to prevent depression, little is known about its prevention through online interventions. We aim to assess the effectiveness of online psychological and psychoeducational interventions to prevent depression in heterogeneous populations. A systematic review and meta-analysis of randomized controlled trials (RCTs) was conducted based on literature searches in eight electronic data bases and other sources from inception to 22 July 2019. Of the 4181 abstracts reviewed, 501 were selected for full-text review, and 21 RCTs met the inclusion criteria, representing 10,134 participants from 11 countries and four continents. The pooled SMD was -0·26 (95%CI: -0·36 to -0·16; p < 0.001) and sensitivity analyses confirmed the robustness of this result. We did not find publication bias but there was substantial heterogeneity (I<sup>2</sup> = 72%; 95%CI, 57% to 82%). A meta-regression including three variables explained 81% of the heterogeneity. Indicated prevention and interactive website delivery were statistically associated with higher effectiveness, and no association was observed with risk of bias. Online psychological and psychoeducational interventions have a small effect in reducing depressive symptoms in non-depressed and varied populations, and the quality of evidence is moderate. Given that these types of interventions are very accessible and can be applied on a wide scale, they should be further developed and implemented. Registration details: Registration number (PROSPERO): CRD42014014804.",2020-Dec,Clinical psychology review,Journal Article,2020,YES
33029754,Sedentary behavior among breast cancer survivors: a longitudinal study using ecological momentary assessments.,"Sedentary behavior (SB) or any waking behavior ≤ 1.5 METs is associated with an increase in body weight and fatigue and poor quality of life among cancer survivors. The purpose of this study was to explore longitudinal trends in SB using accelerometers and associated variables via ecological momentary assessments (EMA) among breast cancer survivors. Breast cancer survivors (within 5 years post-diagnosis) were recruited for a 12-month observational study. Participants were asked to download an EMA application to their smartphones to receive prompts for 7 days and to concurrently wear an Actigraph accelerometer. Participants responded to 35 prompts during each 7-day assessment period at baseline, and at 3, 6, 9, and 12 months. Within each prompt, participants were asked questions about their current level of affect, sadness, anxiety, stress, worry and fatigue, and cancer-related symptoms (e.g., neuropathy). Twenty-two survivors (mean age = 51.5 years) were recruited and 20 participants completed the study. Mean baseline SB averaged 76.7 h/week. Univariate longitudinal models suggested higher levels of sadness, anxiety, stress, worry, and fatigue were associated with more SB while more positive affect was associated with less SB. Additionally, non-leisure context (work) was associated with more SB. Autoregressive models indicated cross-lagged effects of affective valence, fatigue, and SB. More negative affective valence and higher fatigue were associated with more SB. Reducing negative affect valence and offering non-sedentary approaches to manage fatigue may help reduce SB. Specific interventions are needed to reduce SB among cancer survivors-particularly those that target negative affect valence and fatigue.",2021-Aug,Journal of cancer survivorship : research and practice,Journal Article,2021,YES
34901108,Association Between Obesity and Post-stroke Anxiety in Patients With Acute Ischemic Stroke.,"Post-stroke anxiety (PSA) is serious psychosomatic comorbidity among patients with stroke, but whether obesity could be positively associated with PSA is currently unknown. The purpose of this study was to investigate the potential association between obesity and subsequent anxiety risk in patients with stroke. A total of 441 patients with acute ischemic stroke (AIS) onset were consecutively recruited within 7 days, and PSA and post-stroke depression (PSD) were evaluated by using a 14-item Hamilton anxiety scale (HAMA) and 17-item Hamilton depression scale (HAMD) at the end of 1-month follow-up. The odds ratio (OR) with 95% CI was estimated for the incidental PSA by using logistic regression analysis. The incidence of PSA was 25.85% at the end of 1-month follow-up, with a significant difference between patients with and without abdominal obesity. Relative fat mass (RFM) and abdominal obesity were significantly associated with an elevated risk of PSA, and the crude ORs were 1.04 (95% CI: 1.01-1.08) and 1.93 (95% CI: 1.11-3.34), respectively. Even after adjustment for obesity-related risk factors and PSA-related clinical measurements, the association remained to be pronounced with abdominal obesity. However, RFM (OR = 1.03, 95% CI: 0.99-1.06, <i>P</i> = 0.053) and abdominal obesity (OR = 1.31, 95% CI: 0.80-2.15, <i>P</i> = 0.280) were not significantly associated with an elevated risk of PSD. Abdominal obesity was independently associated with the PSA instead of PSD, which may help predict PSA risk in clinical practice. Further prospective clinical studies with a long follow-up duration are warranted to verify this finding.",2021,Frontiers in nutrition,Journal Article,2021,YES
34749291,Potential structural trait markers of depression in the form of alterations in the structures of subcortical nuclei and structural covariance network properties.,"It has been proposed recently that major depressive disorder (MDD) could represent an adaptation to conserve energy after the perceived loss of an investment in a vital source, such as group identity, personal assets, or relationships. Energy conserving behaviors associated with MDD may form a persistent marker in brain regions and networks involved in cognition and emotion regulation. In this study, we examined whether subcortical regions and volume-based structural covariance networks (SCNs) have state-independent alterations (trait markers). First-episode drug-naïve currently depressed (cMDD) patients (N = 131), remitted MDD (RD) patients (N = 67), and healthy controls (HCs, N = 235) underwent structural magnetic resonance imaging (MRI). Subcortical gray matter volumes (GMVs) were calculated in FreeSurfer software, and group differences in GMVs and SCN were analyzed. Compared to HCs, major findings were decreased GMVs of left pallidum and pulvinar anterior of thalamus in the cMDD and RD groups, indicative of a trait marker. Relative to HCs, subcortical SCNs of both cMDD and RD patients were found to have reduced small-world-ness and path length, which together may represent a trait-like topological feature of depression. In sum, the left pallidum, left pulvinar anterior of thalamus volumetric alterations may represent trait marker and reduced small-world-ness, path length may represent trait-like topological feature of MDD.",2021,NeuroImage. Clinical,Journal Article,2021,YES
35002939,Investigation of Altered Spontaneous Brain Activities in Patients With Moyamoya Disease Using Percent Amplitude of Fluctuation Method: A Resting-State Functional MRI Study.,"<b>Background:</b> Moyamoya disease (MMD) is a chronic progressive cerebrovascular abnormality characterized by chronic occlusion of large intracranial vessels with smoky vascular development at the base of the skull. In patients with MMD, abnormal spontaneous brain activity would be expected. <b>Purpose:</b> To assess the brain activity changes in patients with MMD by resting-state functional MRI (rs-fMRI), using the percent amplitude of fluctuation (PerAF) analysis method. <b>Materials and Methods:</b> A total of 17 patients with MMD (3 males and 14 females) and 17 healthy control (HC) subjects with matched gender and age were recruited for this study. We used rs-fMRI to scan all the patients with MMD. Spontaneous neural activity was evaluated using the PerAF approach. The receiver operating characteristic (ROC) curve analysis was used to assess the ability of the PerAF to distinguish patients with MMD from HCs. The Hospital Anxiety and Depression Scale (HADS) tests were performed to assess the emotional status of patients with MMD and retinal nerve fiber layer thickness (RNFLT) was measured using high-resolution optical coherence tomography (hr-OCT). The relationship between the HADS scores, RNFLT values, and the PerAF signals was assessed using the Pearson's correlation analysis. <b>Results:</b> Compared with HCs, the PerAF signals in patients with MMD were decreased in the Frontal_Sup_Medial_R and Precentral_L, whereas those in the Caudate_L were increased. The areas under the ROC curves indicated that signals in these brain regions could distinguish between patients with MMD and HCs. The PerAF value of Frontal_Sup_Medial_R was positively correlated with the left and right eye RNFLT values and negatively correlated with the HADS scores. <b>Conclusion:</b> In patients with MMD, reduced PerAF signals in the Frontal_Sup_Medial_R, Precentral_L, and Caudate_L may be associated with psychiatric diseases including anxiety and depression and decreased RNFLT may be associated with ophthalmic complications due to the compression of terminal branches of the internal carotid artery in the retinal fiber layer. The PerAF can be used as an effective indicator of ocular complications of MMD and to study the neural mechanism underpinning emotional complications in patients with MMD.",2021,Frontiers in neurology,Journal Article,2021,YES
34986431,Combinatorial pharmacogenomic algorithm is predictive of sertraline metabolism in patients with major depressive disorder.,"Pharmacogenomic testing can be used to guide medication selection in patients with major depressive disorder (MDD). Currently, there is no consensus on which gene or genes to consider in medication management. Here, we assessed the clinical validity of the combinatorial pharmacogenomic algorithm to predict sertraline blood levels in a subset of patients enrolled in the Genomics Used to Improve DEpression Decisions (GUIDED) trial. Patients who reported taking sertraline within ≤2 weeks of the screening blood draw were included. All patients received combinatorial pharmacogenomic testing, which included a weighted assessment of individual phenotypes for multiple pharmacokinetic genes relevant for sertraline (CYP2C19, CYP2B6, and CYP3A4). Sertraline blood levels were compared between phenotypes based on: 1) the pharmacokinetic portion of the combinatorial pharmacogenomic algorithm, and 2) individual genes. When evaluated separately, individual genes (for CYP2C19 and CYP2B6) and the combinatorial algorithm were significant predictors of sertraline blood levels. However, in multivariate analyses that included individual genes and the combinatorial pharmacogenomic algorithm, only the combinatorial pharmacogenomic algorithm remained a significant predictor of sertraline blood levels. These findings support the clinical validity of the combinatorial pharmacogenomic algorithm, in that it is a superior predictor of sertraline blood levels compared to individual genes.",2022-Feb,Psychiatry research,Journal Article,2022,YES
37274432,The development of a Community Mental Health Education and Detection (CMED) tool in South Africa.,"Low demand for mental health services in sub-Saharan Africa is driven by poor mental health literacy, stigma, and poor service availability. To develop a Community Mental Health Education and Detection (CMED) Tool for adults for use by community health teams in South Africa aligned with their roles of health promotion, screening and linkage to care. Formative evaluation methods involving four processes: (1) Ongoing engagement with the KwaZulu-Natal Department of Health (KZN DoH) to ensure co-creation of the CMED tool and alignment with routine community health team activities; (2) Adaptation of the CMED tool from the Community Informant Detection Tool (CIDT), used to promote help-seeking of people with mental health problems in Nepal; (3) Review of the CMED vignettes and illustrations by a panel of local and international mental health care experts to establish accuracy and contextual and cultural relevance; (4) Process mapping and focus group discussions (FGDs) with community health teams in one district to establish cultural and contextual appropriateness as well as coherence and compatibility with existing community-based services. The resulting CMED tool consists of five case vignettes and related illustrations to facilitate psychoeducation and the detection of possible depression, anxiety, psychosis, harmful alcohol use, and drug use by community health teams. Based on prototype matching, it includes two structured questions to guide the community health teams in the detection and referral process. The tool was acceptable, culturally and contextually appropriate, and helpful for the services provided by community health teams. Challenges of working in households and the importance of self-care were highlighted as important considerations when developing training content and piloting the tool. Extensive consultation with the KZN DoH, community health teams, and the expert mental health panel resulted in developing a tool that was perceived to be culturally sensitive and relevant to the community package of services.",2021-Dec,SSM. Mental health,Journal Article,2021,YES
34804757,Prophylactic Administration of Alpha Blocker for the Prevention of Urinary Retention in Males Undergoing Inguinal Hernia Repair Under Spinal Anesthesia: Interim Analysis of a Randomized Controlled Trial.,"This randomized controlled study aims to investigate the prophylactic effect of tamsulosin on the development of postoperative urinary retention (POUR) in men undergoing elective open inguinal hernia (IH) repair under spinal anesthesia. The study also focused on potentially predisposing factors for POUR. 100 eligible patients were randomized into two groups. Patients in the experimental group were given two doses of tamsulosin 0.4 mg orally 24 hours and 6 hours before surgery. In the control group, two doses of placebo were administered, in the same manner as the study group. The following parameters were also recorded: the International Prostate Symptom Score (IPSS) questionnaire scores, the presence of scrotal hernia, operation duration, perioperative administration of IV opioids and/or atropine, postoperative pain, and preoperative anxiety. Overall, the incidence of POUR was 37% (37/100) with no difference between the two groups. Among patients receiving tamsulosin, 39.2% (20/51) developed POUR, compared to 34.7% (17/49) in the control group. Preoperative patients' high anxiety visual analog scale (VAS) score (>51mm) (P=0.007) and the intraoperative use of atropine (P=0.02) were detected as risk factors for POUR. This interim analysis of our prospective randomized trial showed no benefit from the prophylactic use of tamsulosin in preventing POUR after IH repair under spinal anesthesia. This type of anesthesia was also correlated with an overall high incidence of POUR. Preoperative anxiety and administration of atropine were identified as statistically significant factors for POUR. In patients with preoperative high anxiety, VAS score a different type of anesthesia may be used.",2021-Nov,Cureus,Journal Article,2021,YES
36845894,Non-pharmacologic interventions to improve depression and anxiety among pregnant and parenting women who use substances: An integrative literature review.,"Pregnant and parenting women who use substances report high rates of comorbid depression and anxiety. Due to the significant impact of this comorbidity on treatment adherence and maternal/child outcomes, effective psychosocial and behavioral interventions to address depression and anxiety in this population are necessary. A directed search of PubMed, PsycINFO, and CINAHL databases produced 22 articles from 20 distinct studies examining non-pharmacologic interventions with an effect on depression and anxiety among pregnant or parenting women using substances. Of the 20 studies reviewed, 8 were randomized controlled trials, 7 were quasi-experimental studies, and 5 were cohort studies. Results revealed a wide array of interventions targeting intrapersonal, interpersonal, and/or structural factors within these women's lives. Parenting therapy and psychosocially enhanced treatment programs had the strongest evidence for positive treatment effect in improving symptoms of depression and anxiety. The use of contingency-management, case-managed care, patient or wellness navigators, mindfulness-based therapy, maternal-child relationship-focused therapy, family therapy, peer support, and therapeutic community-based interventions show promise but warrant further experimental exploration. Comprehensive and gender-specific residential treatment was observationally associated with improvements in depression and anxiety; however, the specific modality of efficacy is unclear. Future research should focus on identifying which modalities are most cost-effective, feasible, and acceptable among this uniquely vulnerable population.",2022-Mar,Drug and alcohol dependence reports,Journal Article,2022,YES
34884299,Longitudinal Analyses of the Reciprocity of Depression and Anxiety after Traumatic Brain Injury and Its Clinical Implications.,"Depression and anxiety are common following traumatic brain injury (TBI). Understanding their prevalence and interplay within the first year after TBI with differing severities may improve patients' outcomes after TBI. Individuals with a clinical diagnosis of TBI recruited for the large European collaborative longitudinal study CENTER-TBI were screened for patient-reported major depression (MD) and generalized anxiety disorder (GAD) at three, six, and twelve months post-injury (N = 1683). Data were analyzed using autoregressive cross-lagged models. Sociodemographic, premorbid and injury-related factors were examined as risk factors. 14.1-15.5% of TBI patients reported moderate to severe MD at three to twelve months after TBI, 7.9-9.5% reported GAD. Depression and anxiety after TBI presented high within-domain persistency and cross-domain concurrent associations. MD at three months post-TBI had a significant impact on GAD at six months post-TBI, while both acted bidirectionally at six to twelve months post-TBI. Being more severely disabled, having experienced major extracranial injuries, an intensive care unit stay, and being female were risk factors for more severe MD and GAD. Major trauma and the level of consciousness after TBI were additionally associated with more severe MD, whereas being younger was related to more severe GAD. Individuals after TBI should be screened and treated for MD and GAD early on, as both psychiatric disturbances are highly persistent and bi-directional in their impact. More severely disabled patients are particularly vulnerable, and thus warrant timely screening and intensive follow-up treatment.",2021-Nov-28,Journal of clinical medicine,Journal Article,2021,YES
