pmid,title,abstract,date,journal,publication_type,year
37274432,The development of a Community Mental Health Education and Detection (CMED) tool in South Africa.,"Low demand for mental health services in sub-Saharan Africa is driven by poor mental health literacy, stigma, and poor service availability. To develop a Community Mental Health Education and Detection (CMED) Tool for adults for use by community health teams in South Africa aligned with their roles of health promotion, screening and linkage to care. Formative evaluation methods involving four processes: (1) Ongoing engagement with the KwaZulu-Natal Department of Health (KZN DoH) to ensure co-creation of the CMED tool and alignment with routine community health team activities; (2) Adaptation of the CMED tool from the Community Informant Detection Tool (CIDT), used to promote help-seeking of people with mental health problems in Nepal; (3) Review of the CMED vignettes and illustrations by a panel of local and international mental health care experts to establish accuracy and contextual and cultural relevance; (4) Process mapping and focus group discussions (FGDs) with community health teams in one district to establish cultural and contextual appropriateness as well as coherence and compatibility with existing community-based services. The resulting CMED tool consists of five case vignettes and related illustrations to facilitate psychoeducation and the detection of possible depression, anxiety, psychosis, harmful alcohol use, and drug use by community health teams. Based on prototype matching, it includes two structured questions to guide the community health teams in the detection and referral process. The tool was acceptable, culturally and contextually appropriate, and helpful for the services provided by community health teams. Challenges of working in households and the importance of self-care were highlighted as important considerations when developing training content and piloting the tool. Extensive consultation with the KZN DoH, community health teams, and the expert mental health panel resulted in developing a tool that was perceived to be culturally sensitive and relevant to the community package of services.",2021-Dec,SSM. Mental health,Journal Article,2021
34834253,Role of Photobiomodulation Therapy in Neurological Primary Burning Mouth Syndrome. A Systematic Review and Meta-Analysis of Human Randomised Controlled Clinical Trials.,"Mitochondrial homeostasis is crucial for energy production and neuronal survival in neurological primary burning mouth syndrome (npBMS). Photobiomodulation therapy (PBMT) has been utilised in npBMS management, however, its role of intervention remains controversial. The aim of this systematic review and meta-analysis of CRD 42020198921 PROSPERO registration reference was to oversee and determine the efficacy of PBMT in patients with npBMS, identifying the gaps and bridge them by proposing recommendations for future studies purposes. PRISMA guidelines and Cochrane Collaboration recommendations followed. Various search engines employed to analyse a total of 351 studies of which 12 were included. A wide range of utilised PBM wavelengths was between 635-980 nm and the power output ranged between 30 mW and 4000 mW. A high risk of bias (RoB) was noted in 7 out of 12 included studies (58.3%), as results of qualitative analysis. Meta-analysis findings of 4 out of 12 studies showed statistically significant intergroup differences (SSID) for visual analogue scale (VAS) values (MD = -1.47; 95% CI = -2.40 to -0.53; Z = 3.07 (<i>p</i> = 0.002) whereas meta-analysis on 5 out of 12 studies revealed SSID for anxiety/depression and quality of life (MD = -1.47; 95% CI = -2.40 to -0.53; Z = 3.07 (<i>p</i> = 0.002), favouring PBMT group to the control treatment strategies. Despite the inconsistency and diversity in PBM parameters (wavelength, power, light source, spot size, emission mode, energy per point, total energy) and treatment protocols (exposure time, number of sessions, time interval between sessions, treatment duration)-majority of the included studies showed positive PBM results. The high RoB and meta-analytical heterogeneity in the eligible studies warrant the necessity to perform well-designed and robust RCTs after acknowledging the drawbacks of the available scientific literature and addressing our suggested recommendations highlighted in our review.",2021-Nov-02,Pharmaceutics,Journal Article,2021
34804757,Prophylactic Administration of Alpha Blocker for the Prevention of Urinary Retention in Males Undergoing Inguinal Hernia Repair Under Spinal Anesthesia: Interim Analysis of a Randomized Controlled Trial.,"This randomized controlled study aims to investigate the prophylactic effect of tamsulosin on the development of postoperative urinary retention (POUR) in men undergoing elective open inguinal hernia (IH) repair under spinal anesthesia. The study also focused on potentially predisposing factors for POUR. 100 eligible patients were randomized into two groups. Patients in the experimental group were given two doses of tamsulosin 0.4 mg orally 24 hours and 6 hours before surgery. In the control group, two doses of placebo were administered, in the same manner as the study group. The following parameters were also recorded: the International Prostate Symptom Score (IPSS) questionnaire scores, the presence of scrotal hernia, operation duration, perioperative administration of IV opioids and/or atropine, postoperative pain, and preoperative anxiety. Overall, the incidence of POUR was 37% (37/100) with no difference between the two groups. Among patients receiving tamsulosin, 39.2% (20/51) developed POUR, compared to 34.7% (17/49) in the control group. Preoperative patients' high anxiety visual analog scale (VAS) score (>51mm) (P=0.007) and the intraoperative use of atropine (P=0.02) were detected as risk factors for POUR. This interim analysis of our prospective randomized trial showed no benefit from the prophylactic use of tamsulosin in preventing POUR after IH repair under spinal anesthesia. This type of anesthesia was also correlated with an overall high incidence of POUR. Preoperative anxiety and administration of atropine were identified as statistically significant factors for POUR. In patients with preoperative high anxiety, VAS score a different type of anesthesia may be used.",2021-Nov,Cureus,Journal Article,2021
36845894,Non-pharmacologic interventions to improve depression and anxiety among pregnant and parenting women who use substances: An integrative literature review.,"Pregnant and parenting women who use substances report high rates of comorbid depression and anxiety. Due to the significant impact of this comorbidity on treatment adherence and maternal/child outcomes, effective psychosocial and behavioral interventions to address depression and anxiety in this population are necessary. A directed search of PubMed, PsycINFO, and CINAHL databases produced 22 articles from 20 distinct studies examining non-pharmacologic interventions with an effect on depression and anxiety among pregnant or parenting women using substances. Of the 20 studies reviewed, 8 were randomized controlled trials, 7 were quasi-experimental studies, and 5 were cohort studies. Results revealed a wide array of interventions targeting intrapersonal, interpersonal, and/or structural factors within these women's lives. Parenting therapy and psychosocially enhanced treatment programs had the strongest evidence for positive treatment effect in improving symptoms of depression and anxiety. The use of contingency-management, case-managed care, patient or wellness navigators, mindfulness-based therapy, maternal-child relationship-focused therapy, family therapy, peer support, and therapeutic community-based interventions show promise but warrant further experimental exploration. Comprehensive and gender-specific residential treatment was observationally associated with improvements in depression and anxiety; however, the specific modality of efficacy is unclear. Future research should focus on identifying which modalities are most cost-effective, feasible, and acceptable among this uniquely vulnerable population.",2022-Mar,Drug and alcohol dependence reports,Journal Article,2022
34884299,Longitudinal Analyses of the Reciprocity of Depression and Anxiety after Traumatic Brain Injury and Its Clinical Implications.,"Depression and anxiety are common following traumatic brain injury (TBI). Understanding their prevalence and interplay within the first year after TBI with differing severities may improve patients' outcomes after TBI. Individuals with a clinical diagnosis of TBI recruited for the large European collaborative longitudinal study CENTER-TBI were screened for patient-reported major depression (MD) and generalized anxiety disorder (GAD) at three, six, and twelve months post-injury (N = 1683). Data were analyzed using autoregressive cross-lagged models. Sociodemographic, premorbid and injury-related factors were examined as risk factors. 14.1-15.5% of TBI patients reported moderate to severe MD at three to twelve months after TBI, 7.9-9.5% reported GAD. Depression and anxiety after TBI presented high within-domain persistency and cross-domain concurrent associations. MD at three months post-TBI had a significant impact on GAD at six months post-TBI, while both acted bidirectionally at six to twelve months post-TBI. Being more severely disabled, having experienced major extracranial injuries, an intensive care unit stay, and being female were risk factors for more severe MD and GAD. Major trauma and the level of consciousness after TBI were additionally associated with more severe MD, whereas being younger was related to more severe GAD. Individuals after TBI should be screened and treated for MD and GAD early on, as both psychiatric disturbances are highly persistent and bi-directional in their impact. More severely disabled patients are particularly vulnerable, and thus warrant timely screening and intensive follow-up treatment.",2021-Nov-28,Journal of clinical medicine,Journal Article,2021
34904543,[Mental illness in elderly patients - Empirical results on the theory of secondary structural deficits].,"<i>Mental illness in elderly patients - Empirical results on the theory of secondary structural deficits</i> <b>Objectives:</b> The theory of secondary structural deficits, which attributes structural deficits to age-related changes, is introduced. The following study aims at testing some elements of the theory (changes of theory of mind, ability to mentalize). <b>Methods:</b> Patients (N = 150, age 40-80 years) of a psychosomatic hospital participated in the study. Structural deficits were measured using the Reading-Mind-in-the-Eyes-Test (Baron-Cohen et al. 2001) and the Mentalization Questionnaire (MZQ, Hausberg et al. 2012). Influences of age as well as physical disease, trauma related stress and anxiety/depression on those structural deficits were examined. <b>Results:</b> Trauma related stress and physical disease (especially vascular disease) were shown to have the most associations to the structural dimensions. This influence increases with increasing age. <b>Conclusions:</b> The results confirm the assumptions of the presented theory in selected variables. Conclusions for modifications in geriatric psychotherapy can be derived.",2021-Dec,Zeitschrift fur Psychosomatische Medizin und Psychotherapie,Journal Article,2021
34953030,Attenuated alpha-gamma coupling in emotional dual pathways with right-Amygdala predicting ineffective antidepressant response.,"The diversity of treatment outcomes for major depressive disorder (MDD) remains uncertain in neuropathology. The current study aimed at exploring electrophysiological biomarkers associated with treatment response. The present study recruited 130 subjects including 100 MDD patients and 30 healthy controls. All subjects participated in a sad expression recognition task while their magnetoencephalography data were recorded. Patients who had a reduction of at least 50% in disorder severity at endpoint (>2 weeks) were considered as responders. Within-frequency power and phase-amplitude coupling were measured for the brain regions involved in the emotional visual information processing pathways. The significant alpha-gamma decoupling from the right thalamus to the right amygdala in unconscious processing and from right orbital frontal cortices to the right amygdala in conscious processing was found in non-responders relative to responders and healthy controls. These kinds of dysregulation could also predict the potential treatment response. The attenuated alpha-gamma coupling in dual pathways indicated increased sensitivity to the negative emotional information and reduced moderated effect of the amygdala, which might cause insensitivity to antidepressant treatment and could be regarded as potential neural mechanisms for treatment response prediction.",2022-Mar,CNS neuroscience & therapeutics,Journal Article,2022
34866649,The impact of adverse childhood experiences and recent life events on anxiety and quality of life in university students.,"Adverse childhood experiences (ACEs) have been repeatedly associated with a wide range of physical and mental health issues. Research has indicated high levels of anxiety and depression among university students, and a few studies have documented the relationship between ACEs and anxiety in the university student population. This study surveyed first year students at a university located in the most ethnically diverse district in England, with the second highest poverty rate. Eight hundred and fifty-eight responded; a response rate of 12%. The survey included questions about adverse childhood events, recent life stressors, current deprivation, quality of life, positive physical health and positive mental health, and used the Generalized Anxiety Disorder Scale, a standardised measure. Thirty-seven percent of the responding students met the diagnosis for generalised anxiety disorder. In a multivariate multiple regression model, life stressors and childhood adversities were significantly associated with higher levels of anxiety and lower levels of physical and mental health. Only childhood adversities significantly predicted lower levels of quality of life. The findings highlight the importance of considering adverse childhood experiences in enhancing the wellbeing of the student population. Given the demographics of the student population at the University of East London, the high rates of ACEs and anxiety are likely to partially reflect poverty and racism. The implications of the findings for trauma-informed policies and practices in universities are discussed. The online version contains supplementary material available at 10.1007/s10734-021-00774-9.",2022,Higher education,Journal Article,2022
35028216,"Fear, Psychological Impact, and Coping During the Initial Phase of COVID-19 Pandemic Among the General Population in India.","Introduction Public health emergencies such as pandemics affect the health, safety, and well-being of both individuals and societies. Thus, this study aims to better understand the fear due to coronavirus disease (COVID) and associated levels of anxiety, depression, stress, and coping in the general public of India during the initial stage of the COVID-19 outbreak. Materials and methods This was a cross-sectional study to assess the psychological impact of COVID-19 and coping levels among the general population during the coronavirus pandemic's initial phase. An online survey was conducted using a snowball sampling technique. Results A total of 489 people responded to the survey. The prevalence rates of depression, anxiety and stress were 27.2%, 21.5%, and 15.3% respectively. Female gender, age below 35 years, history of medical or psychiatric illness, and those who had personal contact with persons with COVID-19 were significantly associated with presence of depression, anxiety, and stress whereas spending more than 1 hour on COVID-19-related information was associated with significant stress. Conclusion This study concludes that the prevalence rates of psychological problems were high during the COVID-19 pandemic. These are directly related to the fear associated with COVID-19 but had an inverse relationship with the resilient coping levels.",2021-Dec,Cureus,Journal Article,2021
34855932,COVID-19 infodemic and adult and elderly mental health: a scoping review.,"to map scientific knowledge about the repercussions of the infodemic on adult and elderly mental health in the context of the COVID-19 pandemic. this is a scoping review, developed using the Joanna Briggs Institute (JBI) methodology, which included 33 articles. These articles were analyzed according to average age, gender and education level; place and period of the studies; exposure time to COVID-19 information; main signs and symptoms related to mental health; main sources of information; suggestions for mitigating the effects of the infodemic; and knowledge gaps. the most present repercussions of the infodemic on the adult and elderly mental health were anxiety, depression and stress, and the most affected group was young adults and females. future studies with more robust designs are needed to investigate the repercussions of the infodemic on people's mental health in the medium and long term, as well as to assess the effects, feasibility, cost-benefit and meaning of interventions in population groups, especially in the elderly population.",2021,Revista da Escola de Enfermagem da U S P,Journal Article,2021
34910960,"Comorbid depression and obesity among adults in Germany: Effects of age, sex, and socioeconomic status.","Depression and obesity are common health problems with major public health implications. These conditions frequently co-occur, adversely affecting the course of the other. The sociodemographic and socioeconomic risk factors for comorbid depression and obesity in the German adult population have not yet been reported. We analyzed the prevalence and sociodemographic and socioeconomic correlates of comorbid depression and obesity using cross-sectional data from the national German health interview and examination survey for adults (DEGS1; n = 7987) and its mental health module (DEGS1-MH; n = 4493). The Composite International Diagnostic Interview was used to diagnose major depressive disorder (CIDI-MDD). Sensitivity was analyzed using the self-reported depression measure and current depressive symptoms measured by Patient Health Questionnaire-9 (PHQ-9). Obesity was defined by body mass index calculated from measured data. Prevalence of comorbid depression and obesity was 1.3% (95% CI 0.8-2.0) in men and 2.0% (95% CI 1.3-3.0) in women. We found significant sex differences in results from the self-reported depression measure and the PHQ-9, but not from the CIDI-MDD. Low socioeconomic status and poor social support were linked to a higher prevalence of comorbid depression and obesity among women. Severe depression may have been underreported. Depression is statistically more prevalent in women than in men, which accounts for many of the sex differences in the prevalence of comorbid depression and obesity in our models. Targeted public health strategies need to be developed to prevent and treat comorbid depression and obesity in women with a low socioeconomic position.",2022-Feb-15,Journal of affective disorders,Journal Article,2022
35031130,[Potentially inappropriate psychotropic drug prescription in elderly people in West Occitanie area].,"Psychotropic drugs remain frequently prescribed in elderly people. Some of them are classified as « inappropriate » because they could increase the risk of adverse drug reactions. The aim of this study is to evaluate the prevalence of exposure to potentialy inappropriate psychotropic drugs (PIPs) in the elderly living in nursing home residents (EHPAD) in West Occitanie area. We carried out a retrospective study on the cohort of PAAPI program (Personne âgée et amélioration des prescriptions inappropriées) participating in PAAPI program set up in West Occitanie in 2016 including 3095 patients during 2 years. PIPs were identified by the list EU(7)PIM and completed with the guidelines mailed by the National Drug Safety Agency. We measured the prevalence of exposure to PIPs in this population. The majority of the residents (n=2301, 74.4%) were female of the average age was 87.1±8.1 years and. The prevalence of exposure to psychotropic drugs was about 77.5% with an average of 1.6 prescription lines per patient (±1,1). We found antidepressants (36.5% of PIP) with mainly paroxetine (37.3% of antidepressants PIP), followed by venlafaxine (32.8%), hypnotics and sedatives (26.6% of PIP) with zopiclone with inappropriate dose (59.4% of hypnotics PIP), anxiolytics (25.8% of PIP) with alprazolam (37.9% of anxiolytics PIP), followed by bromazepam (16%) and antipsychotics (11.2% of PIP) with cyamemazine (100% of inappropriate prescription) followed by aripiprazole and haloperidol (respectively 100% and 14.7% of inappropriate prescription). According to our data, third of elderly people in Nursing Homes were exposed to a PIP suggesting that guidelines about psychotropic drugs prescription are not well followed. Then, information campaign of healthcare professionnals could be useful to improve psychotropic drug prescription in the elderly population.",2022,Therapie,Journal Article,2022
34850475,"Panic-like responses of female Wistar rats confronted by Bothrops alternatus pit vipers, or exposure to acute hypoxia: Effect of oestrous cycle.","Anxiety-related diseases are more than twice as common in women than in men, and in women, symptoms may be exacerbated during the late luteal phase of the menstrual cycle. Despite this, most research into the underlying mechanisms, which drives drug development, have been carried out using male animals. In an effort to redress this imbalance, we compared responses of male and female Wistar rats during exposure to two unconditioned threatening stimuli that evoke panic-related defensive behaviours: confrontation with a predator (Bothrops alternatus) and acute exposure to hypoxia (7% O<sub>2</sub> ). Threatened by venomous snake, male and female rats initially displayed defensive attention, risk assessment, and cautious interaction with the snake, progressing to defensive immobility to overt escape. Both males and females displayed higher levels of risk assessment but less interaction with the predator. They also spent more time in the burrow, displaying inhibitory avoidance, and more time engaged in defensive attention, and non-oriented escape behaviour. In females, anxiety-like behaviour was most pronounced in the oestrous and proestrus phases whereas panic-like behaviour was more pronounced during the dioestrus phase, particularly during late dioestrus. Acute hypoxia evoked panic-like behaviour (undirected jumping) in both sexes, but in females, responsiveness in late dioestrus was significantly greater than at other stages of the cycle. The results reveal that females respond in a qualitatively similar manner to males during exposure to naturally occurring threatening stimuli, but the responses of females is oestrous cycle dependent with a significant exacerbation of panic-like behaviour in the late dioestrus phase.",2022-Jan,The European journal of neuroscience,Journal Article,2022
34666754,The impact that family members' health care experiences have on patients' trust in physicians.,"A family member's negative experiences with medical care have long-term effects on a patient's attitudes and emotions. However, the impact of family members' experiences on patients' trust in their own physicians and in physicians generally is poorly understood. This study aims to quantify these associations. A cross-sectional online survey involving adults with non-communicable diseases (cardiac disease, diabetes, cancer, depression, and rheumatic disease) was conducted in Japan during April 2020. The main exposure variable was dissatisfaction with the medical care that family members had received. The main outcomes were patients' (N = 661) own trust in their personal physicians and in physicians generally. The study adopted the Japanese version of the Abbreviated Wake Forest Physician Trust Scales. Both 5-item scales (general and individual physician trust) were translated and validated for the study. The total scores were transformed into a scale of 0-100 points. A series of linear mixed-effects models with consideration for clustering effect by prefectures were fit. The results showed a lower rating for trust in physicians generally as compared to trust in the respondent's personal physician (mean 57.0 vs. 66.4 points; p < 0.001). Furthermore, dissatisfaction with a family member's medical care was associated with lower trust in physicians generally (mean difference - 9.58, 95 %CI -12.4 to -6.76). Interestingly, dissatisfaction with a family member's care was also associated with lower trust in the respondent's personal physician (mean difference - 3.19, 95 %CI -6.02 to -0.36), but the magnitude of this association was weaker. The lower trust in personal physicians may be mediated by reduced trust in physicians generally. We suggest that physicians enquire about past patients' negative experiences, including dissatisfaction with family members' medical care, to repair hidden loss of trust, when they sense that patients doubt them or physicians generally.",2021-Oct-19,BMC health services research,Journal Article,2021
36184843,The role of life satisfaction in the association between problematic technology use and anxiety in children and adolescents during the COVID-19 pandemic.,"The main aim of this study is to explore problematic technology use among adolescents (Internet, video games, mobiles, and television) and its association with anxiety symptoms. Furthermore, we also analysed the possible moderating role of life satisfaction in this relationship during the COVID-19 pandemic in Spain. A cross-sectional survey of 4025 children and adolescents (52% females and 48% males) between 12 and 18 years old was carried out to explore problematic technology use and its correlation with anxiety and life satisfaction after pandemic lockdown. Four multivariate regressions containing the independent variable (problematic technology use), the moderator (life satisfaction), and their interaction were entered to predict the outcome (anxiety). The moderated models were examined using SPSS PROCESS macro software (Model 1). Analyses showed significant positive correlations with anxiety and negative correlations with life satisfaction regarding problematic technology use (mobile phone, television, and internet). Both gender and age had a significant direct effect on anxiety (showing that women and older participants had the greatest anxiety). In the moderation analysis, when life satisfaction was higher, the presence of anxiety symptoms depended to a greater extent on the problematic use of technology. Our results confirm that problematic technology use is related to higher levels of anxiety in adolescents, with differences by age and gender. The results also showed that life satisfaction mediated the relationship between technology abuse and anxiety, such that when life satisfaction was higher, the presence of anxiety symptoms was more dependent on problematic technology use. These findings have implications for health and education professionals.",2023-Feb,International journal of mental health nursing,Journal Article,2023
36206887,Anticipatory cues in emotional processing shift the activation of a combined salience sensorimotor functional network in drug-naïve depressed patients.,"Major depressive disorder is characterized by a large-scale brain network dysfunction, contributing to impairments in cognitive and affective functioning. Core regions of default mode, limbic and salience networks are also impaired in emotional processing and anticipation. This study aimed to explore default mode, salience, and limbic networks modulation during the processing of emotional stimuli with and without anticipatory cues in depression, and further investigate how these networks were functionally coupled with the rest of the brain. Twenty-one drug-naïve depressed patients and 15 matched controls were included in the study. All participants completed a psychological assessment and the affective pictures paradigm during an fMRI acquisition. Group independent component analysis and psychophysiological interactions analyses were performed. A significant interaction between Cue, Valence and Group was found for the salience/sensorimotor network. When processing uncued emotional stimuli, patients showed increased activation of this network for negative vs. neutral pictures, whereas when anticipatory cues were displayed previously to the picture presentation, they invert this pattern of activation (hyperactivating the salience/sensorimotor network for positive vs. neutral pictures). Patients showed increased functional connectivity between the salience/sensorimotor network and the left amygdala as well as the right inferior parietal lobule compared to controls when processing uncued negative pictures. The sample size was modest, and the salience/sensorimotor network included regions not typically identified as part of salience network. Thus, this study should be replicated to further interpret the results. Anticipatory cues shift the pattern of activation of the salience/sensorimotor network in drug-naïve depressed patients.",2023-Jan-01,Journal of affective disorders,Journal Article,2023
36186361,The role of English as a foreign language learners' grit and foreign language anxiety in their willingness to communicate: Theoretical perspectives.,"Learners' willingness to communicate in a foreign language is regarded as a critical issue in educational contexts, so the role of emotional factors in learners' willingness to communicate has drawn the attention of investigators. This review investigated the studies on the relationship between English as a Foreign Language (EFL) learners' grit, foreign language anxiety, and willingness to communicate. This review showed a significant relationship between learners' grit and willingness to communicate. The earlier studies showed that gritty learners with incessant inspiring efforts are more likely to communicate in a foreign language. This review also indicated that lower anxious learners tend to have more willingness to communicate. Earlier studies also indicated that the theories, such as broaden-and-build, positive psychology, dynamic system, affective filter, and attentional control can justify the relationships between these constructs. Moreover, the study has some pedagogical implications and suggestions for teachers, learners, syllabus designers, material developers, teacher educators, policy-makers, and advisors. The ideas can improve their awareness of teachers' willingness to communicate, grit, and foreign language anxiety in educational environments.",2022,Frontiers in psychology,Journal Article,2022
36495619,Childhood abuse and cortical gray matter volume in patients with major depressive disorder.,"Childhood abuse is associated with brain structural alterations; however, few studies have investigated the association between specific types of childhood abuse and cortical volume in patients with major depressive disorder (MDD). We aimed to investigate the association between specific types of childhood abuse and gray matter volumes in patients with MDD. Seventy-five participants with MDD and 97 healthy controls (HCs) aged 19-64 years were included. Cortical gray matter volumes were compared between MDD and HC groups, and also compared according to exposure to each type of specific childhood abuse. Emotional, sexual, and physical childhood abuse were assessed using the 28-item Childhood Trauma Questionnaire. Patients with MDD showed a significantly decreased gray matter volume in the right anterior cingulate gyrus (ACG). Childhood sexual abuse (CSA) was associated with significantly decreased gray matter volume in the right middle occipital gyrus (MOG). In the post-hoc comparison of volumes of the right ACG and MOG, MDD patients with CSA had significantly smaller volumes in the right MOG than did MDD patients without CSA or HCs. The right MOG volume decrease could be a neuroimaging marker associated with CSA and morphological changes in the brain may be involved in the pathophysiology of MDD.",2023-Jan,Psychiatry research,Journal Article,2023
36711419,The positive effect of mother-performed infant massage on infantile eczema and maternal mental state: A randomized controlled trial.,"To observe the influence of MPIM on infantile eczema, quality of life, growth and maternal mental state. This trial was a randomized controlled study. Sixty-six full-term infants with eczema were randomly divided into eczema control group (EC group, <i>n</i> = 33) and eczema with MPIM group (EM group, <i>n</i> = 33), along with healthy full-term infants in the healthy control group (HC group, <i>n</i> = 31). The mothers in the EC group received the instruction of routine care, while the mothers in the EM group applied massage on the infants plus receiving the same instruction of the routine care. HC group received none of any specific intervention. Data were collected in the three groups at the baseline and at the end of 2- and 5-month intervention. Before and at the end of 2-month intervention, the following indexes were investigated in infants including the growth indexes, eczema area severity index (EASI), infantile dermatitis quality of life index (IDQOL). And the scores of self-rating anxiety scale (SAS) and self-rating depression scale (SDS) were investigated in mothers at the same timepoints. At the end of 5-month intervention, the infants' growth and relapse condition of eczema were observed. Overall, 31 cases in HC group, 31 in EC group and 32 in EM group were included for data analysis. There were no significant differences in the indexes of infantile growth among the three groups (all <i>P</i> >0.05). The scores of EASI and IDQOL significantly lowered (both <i>P</i> < 0.001) in EC group following the instruction of routine care, along with reduced maternal scores of SAS and SDS (both <i>P</i> < 0.05). Compared with the EC group, the EM group showed significantly lower scores of EASI and IDQOL (both <i>P</i> < 0.001) and lower relapse rate (<i>P</i> < 0.01) in infants with eczema, along with significantly lower scores of SAS and SDS in mothers (both <i>P</i> < 0.01). Moreover, none of obvious adverse reaction was reported following MPIM, to which most of the mothers could adhere. MPIM could effectively promote the remission of infantile eczema and reduce its relapse, along with relieving maternal anxiety and depression mood. Identifier: ChiCTR2200066246.",2022,Frontiers in public health,Journal Article,2022
36434937,Comparison on the clinical features in patients with or without treatment-resistant depression: A National Survey on Symptomatology of Depression report.,"Patients with treatment-resistant depression (TRD) have fewer treatment options and worse prognoses than those without TRD. Although the etiology or pathophysiology of TRD remains unclear, certain clinical variables have been found to be related to its severity and prognosis. Therefore, 1151 patients with recurrent depression were recruited from the National Survey on Symptomatology of Depression (NSSD) and their depressive symptoms were assessed by using the doctor-rating assessment questionnaire. Then, the differences between patients with or without TRD were compared by parametric or nonparametric tests and the risk factors for TRD were explored by logistic regression. The results showed there were differences in clinical variables between patients with and without TRD. Additionally, we found depression with more somatic symptoms had a higher risk for TRD. Further analysis by stepwise logistic regression showed that age, gender, religious belief, drinking habit, the total course of depression, the number of hospitalizations, characteristics of seasonal episode remission, depressed mood, hypersexuality, emotionally incoherent psychotic symptoms, psychomotor agitation, respiratory system symptoms and history of suicide attempts were strongly associated with TRD. So, it is crucial for clinicians to identify these clinical features and adjust treatments timely.",2023-Jan,Psychiatry research,Journal Article,2023
36303128,Psychometric properties of the Internalized Stigma of Mental Illness (ISMI-10) scale in a Dutch sample of employees with mental illness.,"Internalized stigma can have numerous negative effects on the well-being and employment of people with mental illness. Brief, valid, and reliable measures are needed to get a better understanding of self-stigmatization. The aim of this study is to translate the brief version of the Internalized Stigma of Mental Illness (ISMI-10) scale into a Dutch version and to assess the reliability and validity of this Dutch version in a sample of employees with mental illness. The ISMI-10 was translated into Dutch using the forward-backward translation procedure. The sample consisted of 161 employees with mental illness. Internal consistency was evaluated and the retest reliability was tested with 68 respondents. The construct validity was evaluated by testing convergent and divergent validity. The Dutch ISMI-10 showed good internal consistency (α = 0.83) and good test-retest reliability (r = 0.73). The Dutch ISMI-10 demonstrated excellent convergent validity; high correlations were found between the Dutch ISMI-10 and hope (r = -0.54), anxiety and depression (r = 0.59), self-esteem (r = -0.56), and empowerment (r = - 0.59). Acceptable divergent validity was indicated; small correlations were found between the Dutch ISMI-10 and the physical functioning subscale (r = -0.27) and the role limitation due to physical problems subscale (r = -0.21), and medium correlations were found between the Dutch ISMI-10 and the general health subscale (r = -0.36). The Dutch ISMI-10 demonstrated adequate psychometric properties for assessing internalized stigma and can be used by researchers in Dutch speaking countries to get a better understanding of self-stigmatization among people with mental illness.",2022-Oct-27,BMC psychiatry,Journal Article,2022
36204172,Psychiatric Uses of Gabapentin.,"This article reviews evidence-based psychiatric uses of gabapentin, along with associated risks. An extensive literature review was conducted, primarily of articles searchable in PubMed, relating to psychiatric uses, safety, and adverse effects of gabapentin. Evidence supports gabapentin as a treatment for alcohol withdrawal and alcohol use disorder. There is sufficient evidence to consider gabapentin as a third-line treatment for social anxiety disorder and severe panic disorder. Evidence does not support the use of gabapentin for bipolar disorder, major depressive disorder (MDD), posttraumatic stress disorder (PTSD), obsessive compulsive disorder (OCD), stimulant use disorder, or opioid withdrawal. Risks of gabapentin use are highest among those with a history of a substance use disorder and those concurrently taking opioids. While gabapentin has a place in psychiatry for a select few indications, the literature does not support its use for many studied diagnoses.",2022,Innovations in clinical neuroscience,Journal Article,2022
40477751,[Digital health literacy and well-being].,"Previous findings suggest that depressive and anxiety-related symptoms have doubled among students since the beginning of the coronavirus pandemic. Digital health literacy can act as a protective resource to strengthen well-being. This paper analyzes the relationship between digital health literacy, socioeconomic status, well-being and future-anxiety among students in Austria. A total of 480 students from Austrian higher education institutions were surveyed via online questionnaire during the second wave of the coronavirus pandemic. Sociodemographic data, students' self-assessments of well-being, fears about the future, and digital health literacy were collected. Variance and regression analyses were used for the evaluation. About 50% of the students reported low well-being and distinct fears about the future. Regarding digital health literacy, the ability to assess the relevance of information showed the highest correlation with well-being. A higher socioeconomic status correlated with higher well-being as well as lower fears about the future. The assessment of the relevance of information and connecting it with one's own life reality seems to be an important factor in promoting well-being. Individual factors such as gender or the study program are relevant for the relationship between well-being and digital health literacy.",2023,Pravention und Gesundheitsforderung,Journal Article,2023
